"Code","Year","Population.with.access.to.improved.sanitation","Population.without.access.to.improved.sanitation","Access.to.electricity....of.population.","Entity"
"COG",2011,649833,3862897,44.8375129699707,"Congo"
"COG",2012,676471,3956892,41.6,"Congo"
"COG",2013,703206,4048187,49.5137557983399,"Congo"
"COG",2014,725794,4145307,51.8623924255371,"Congo"
"COG",2015,749347,4246301,60.4,"Congo"
"COG",2016,NA,NA,56.5661697387695,"Congo"
"COM",1995,101259,374135,27.6020545959473,"Comoros"
"COM",1996,107987,380640,28.9,"Comoros"
"COM",1997,114445,387508,32.458610534668,"Comoros"
"COM",1998,121631,393754,34.8608856201172,"Comoros"
"COM",1999,128510,400338,37.2417488098145,"Comoros"
"COM",2000,136132,406225,39.5996589660645,"Comoros"
"COM",2001,143419,412469,41.9391593933105,"Comoros"
"COM",2002,151481,417998,44.8,"Comoros"
"COM",2003,159800,423411,46.5871810913086,"Comoros"
"COM",2004,167821,429407,48.9078330993652,"Comoros"
"COM",2005,176760,434867,51.2343215942383,"Comoros"
"COM",2006,185422,441003,53.5727195739746,"Comoros"
"COM",2007,195052,446568,55.929084777832,"Comoros"
"COM",2008,205055,452174,58.3079681396484,"Comoros"
"COM",2009,214767,458485,60.7078819274902,"Comoros"
"COM",2010,225529,464163,63.1258201599121,"Comoros"
"COM",2011,236701,469868,65.5587768554688,"Comoros"
"COM",2012,247563,476305,69.3,"Comoros"
"COM",2013,259525,481975,70.4577331542969,"Comoros"
"COM",2014,271860,487525,72.917724609375,"Comoros"
"COM",2015,278318,499106,75.3807144165039,"Comoros"
"COM",2016,NA,NA,77.8442153930664,"Comoros"
"DZA",1995,23614811,5289487,98.7707138061524,"Algeria"
"DZA",1996,24146772,5264643,98.8460083007812,"Algeria"
"DZA",1997,24656642,5230197,98.906005859375,"Algeria"
"DZA",1998,25148322,5187410,98.9476470947266,"Algeria"
"DZA",1999,25627756,5137857,98.9678802490234,"Algeria"
"DZA",2000,26069540,5114120,98.9651565551758,"Algeria"
"DZA",2001,26537409,5054744,98.9440231323242,"Algeria"
"DZA",2002,26971824,5023222,98.9105377197266,"Algeria"
"DZA",2003,27445776,4957738,98.8707733154297,"Algeria"
